Date,Open,High,Low,Settle,Volume,Open Interest
2011-05-02,1363.25,1373.5,1354.75,,1707040.0,2742024.0
2011-04-29,1355.0,1363.75,1352.75,,1272342.0,2742628.0
2011-04-28,1351.5,1358.5,1346.75,,1706910.0,2743397.0
2011-04-27,1341.0,1354.25,1340.25,,1386295.0,2751861.0
2011-04-26,1330.75,1346.25,1328.0,,1386038.0,2726416.0
2011-04-25,1330.5,1335.25,1327.25,,599322.0,2693363.0
2011-04-21,1328.5,1337.75,1328.0,,1276072.0,2681863.0
2011-04-20,1308.75,1330.5,1308.5,,1870001.0,2693117.0
2011-04-19,1301.0,1309.5,1294.0,,1528995.0,2693117.0
2011-04-18,1318.25,1318.75,1290.25,,2255340.0,2687640.0
2011-04-15,1310.5,1319.25,1305.75,,1644200.0,2683332.0
2011-04-14,1309.25,1313.25,1298.25,,2027796.0,2690414.0
2011-04-13,1308.25,1318.75,1305.0,,1919662.0,2667514.0
2011-04-12,1320.25,1320.5,1305.25,,2078928.0,2685024.0
2011-04-11,1325.75,1330.25,1317.0,,1527470.0,2695169.0
2011-04-08,1328.5,1335.75,1318.75,,1858868.0,2688459.0
2011-04-07,1329.0,1335.25,1322.25,,2180272.0,2671718.0
2011-04-06,1327.0,1336.5,1326.0,,1656416.0,2665569.0
2011-04-05,1329.75,1334.25,1323.0,,1558287.0,2675137.0
2011-04-04,1327.0,1332.75,1324.5,,1273974.0,2646233.0
2011-04-01,1321.25,1333.75,1320.5,,1660075.0,2635255.0
2011-03-31,1324.5,1325.75,1320.5,,1521964.0,2647743.0
2011-03-30,1316.25,1327.75,1314.75,,1407633.0,2638334.0
2011-03-29,1302.75,1317.75,1300.25,,1549071.0,2650848.0
2011-03-28,1309.25,1315.25,1302.0,,1290490.0,2631428.0
2011-03-25,1304.5,1314.5,1304.0,,1651563.0,2598402.0
2011-03-24,1292.0,1306.75,1289.25,,1833298.0,2603534.0
2011-03-23,1287.75,1296.0,1279.0,,1939892.0,2587522.0
2011-03-22,1292.5,1296.5,1287.5,,1441789.0,2568898.0
2011-03-21,1276.25,1296.25,1274.75,,1488232.0,2553822.0
2011-03-18,1272.25,1293.25,1266.25,,40953.0,1141824.0
2011-03-17,1259.75,1279.25,1246.5,,194433.0,1241035.0
2011-03-16,1280.0,1288.25,1248.0,,798954.0,1241035.0
2011-03-15,1295.5,1298.0,1256.0,,1008182.0,1458735.0
2011-03-14,1302.25,1305.75,1286.0,,817826.0,1737831.0
2011-03-11,1293.75,1308.75,1283.0,,1125367.0,1974238.0
2011-03-10,1315.75,1317.25,1292.75,,2605190.0,2239543.0
2011-03-09,1319.75,1325.0,1311.5,,2196273.0,2614534.0
2011-03-08,1308.75,1325.75,1306.0,,2209200.0,2798341.0
2011-03-07,1320.25,1327.25,1302.75,,2702700.0,2897776.0
2011-03-04,1329.75,1334.5,1311.25,,2944659.0,2894251.0
2011-03-03,1306.25,1332.0,1305.0,,2361733.0,2887515.0
2011-03-02,1301.25,1313.75,1296.25,,2680941.0,2915339.0
2011-03-01,1326.5,1336.5,1300.75,,3054741.0,2898347.0
2011-02-28,1318.25,1329.0,1313.0,,1941581.0,2852603.0
2011-02-25,1302.5,1320.0,1301.5,,1827557.0,2871412.0
2011-02-24,1305.75,1310.75,1292.5,,2903883.0,2875305.0
